Movement1,Movement2,SameClass,Subject1,Subject2,Distance
BothReleased,FirstDigitTouch,False,1,11,25.524796598956545
BothReleased,FirstDigitTouch,False,1,12,25.92458038932689
BothReleased,FirstDigitTouch,False,2,1,22.80461200143377
BothReleased,FirstDigitTouch,False,2,3,26.46229212031782
BothReleased,FirstDigitTouch,False,2,4,25.472748995686533
BothReleased,FirstDigitTouch,False,2,5,30.795102321741048
BothReleased,FirstDigitTouch,False,2,6,30.38096248583091
BothReleased,FirstDigitTouch,False,2,7,29.79757286606797
BothReleased,FirstDigitTouch,False,2,8,21.651063496521644
BothReleased,FirstDigitTouch,False,2,9,24.94373724909548
BothReleased,FirstDigitTouch,False,2,10,23.76996620268166
BothReleased,FirstDigitTouch,False,2,11,30.727647409297195
BothReleased,FirstDigitTouch,False,2,12,26.894179156069413
BothReleased,FirstDigitTouch,False,8,1,24.71553460065959
BothReleased,FirstDigitTouch,False,8,2,25.397065604478858
BothReleased,FirstDigitTouch,False,8,3,29.174725384291307
BothReleased,FirstDigitTouch,False,8,4,27.37704308335224
BothReleased,FirstDigitTouch,False,8,5,31.234541182961543
BothReleased,FirstDigitTouch,False,8,6,34.05799481172437
BothReleased,FirstDigitTouch,False,8,7,31.512106633750253
BothReleased,FirstDigitTouch,False,8,9,26.468581240941873
BothReleased,FirstDigitTouch,False,8,10,26.18605089068166
BothReleased,FirstDigitTouch,False,8,11,32.281028830148095
BothReleased,FirstDigitTouch,False,8,12,28.6195222740408
BothReleased,FirstDigitTouch,False,4,1,23.868914052852258
BothReleased,FirstDigitTouch,False,4,2,25.697923090514312
BothReleased,FirstDigitTouch,False,4,3,24.636974718011963
BothReleased,FirstDigitTouch,False,4,5,34.46266180422301
BothReleased,FirstDigitTouch,False,4,6,32.332603654116916
BothReleased,FirstDigitTouch,False,4,7,26.959644335698734
BothReleased,FirstDigitTouch,False,4,8,27.788084917078645
BothReleased,FirstDigitTouch,False,4,9,25.031034456130133
BothReleased,FirstDigitTouch,False,4,10,26.462797145740872
BothReleased,FirstDigitTouch,False,4,11,27.440586839892156
BothReleased,FirstDigitTouch,False,4,12,30.690209861403762
BothReleased,FirstDigitTouch,False,5,1,35.938562564171704
BothReleased,FirstDigitTouch,False,5,2,38.57607448584215
BothReleased,FirstDigitTouch,False,5,3,39.3130598262702
BothReleased,FirstDigitTouch,False,5,4,35.998848306290995
BothReleased,FirstDigitTouch,False,5,6,40.13721061140983
BothReleased,FirstDigitTouch,False,5,7,37.21926127684755
BothReleased,FirstDigitTouch,False,5,8,36.11101221193207
BothReleased,FirstDigitTouch,False,5,9,36.33177488892816
BothReleased,FirstDigitTouch,False,5,10,37.216412075438576
BothReleased,FirstDigitTouch,False,5,11,35.0534638786105
BothReleased,FirstDigitTouch,False,5,12,38.519036459211975
BothReleased,FirstDigitTouch,False,11,1,32.004290152719484
BothReleased,FirstDigitTouch,False,11,2,33.716021357468264
BothReleased,FirstDigitTouch,False,11,3,32.282148034084635
BothReleased,FirstDigitTouch,False,11,4,30.23699941518212
BothReleased,FirstDigitTouch,False,11,5,40.31272898535401
BothReleased,FirstDigitTouch,False,11,6,35.90415651232272
BothReleased,FirstDigitTouch,False,11,7,31.36725364351662
BothReleased,FirstDigitTouch,False,11,8,36.20140439995842
BothReleased,FirstDigitTouch,False,11,9,31.64592435046701
BothReleased,FirstDigitTouch,False,11,10,33.07892054358462
BothReleased,FirstDigitTouch,False,11,12,34.9387904903002
BothReleased,FirstDigitTouch,False,9,1,32.18430823474364
BothReleased,FirstDigitTouch,False,9,2,31.05228451174563
BothReleased,FirstDigitTouch,False,9,3,25.989473312056454
BothReleased,FirstDigitTouch,False,9,4,28.021727616570704
BothReleased,FirstDigitTouch,False,9,5,38.947667444921265
BothReleased,FirstDigitTouch,False,9,6,39.216220453564326
BothReleased,FirstDigitTouch,False,9,7,29.198462243418735
BothReleased,FirstDigitTouch,False,9,8,36.85744950724041
BothReleased,FirstDigitTouch,False,9,10,29.648391471355232
BothReleased,FirstDigitTouch,False,9,11,28.79905824073288
BothReleased,FirstDigitTouch,False,9,12,29.668666492209265
BothReleased,FirstDigitTouch,False,3,1,28.21389115893564
BothReleased,FirstDigitTouch,False,3,2,26.418417778297094
BothReleased,FirstDigitTouch,False,3,4,21.955100003902775
BothReleased,FirstDigitTouch,False,3,5,31.07102059079889
BothReleased,FirstDigitTouch,False,3,6,33.370846005209124
BothReleased,FirstDigitTouch,False,3,7,25.22755197611888
BothReleased,FirstDigitTouch,False,3,8,32.182952319907
BothReleased,FirstDigitTouch,False,3,9,27.13351472558603
BothReleased,FirstDigitTouch,False,3,10,26.29382061912777
BothReleased,FirstDigitTouch,False,3,11,27.361579488379686
BothReleased,FirstDigitTouch,False,3,12,26.369493504260195
BothReleased,FirstDigitTouch,False,10,1,29.302852754015976
BothReleased,FirstDigitTouch,False,10,2,31.650906196940042
BothReleased,FirstDigitTouch,False,10,3,28.438012468708134
BothReleased,FirstDigitTouch,False,10,4,27.7922595286049
BothReleased,FirstDigitTouch,False,10,5,35.10597287151628
BothReleased,FirstDigitTouch,False,10,6,37.410274778546075
BothReleased,FirstDigitTouch,False,10,7,30.90878483357651
BothReleased,FirstDigitTouch,False,10,8,34.68413913810804
BothReleased,FirstDigitTouch,False,10,9,29.8246191033852
BothReleased,FirstDigitTouch,False,10,11,28.599197070968014
BothReleased,FirstDigitTouch,False,10,12,31.720804154404906
BothReleased,FirstDigitTouch,False,12,1,24.914988218586796
BothReleased,FirstDigitTouch,False,12,2,21.984441792011037
BothReleased,FirstDigitTouch,False,12,3,24.406913377708864
BothReleased,FirstDigitTouch,False,12,4,24.391548580362038
BothReleased,FirstDigitTouch,False,12,5,31.59102096633978
BothReleased,FirstDigitTouch,False,12,6,32.066181843262974
BothReleased,FirstDigitTouch,False,12,7,28.152156188955814
BothReleased,FirstDigitTouch,False,12,8,27.350158290043876
BothReleased,FirstDigitTouch,False,12,9,25.007707231530606
BothReleased,FirstDigitTouch,False,12,10,24.016735728233435
BothReleased,FirstDigitTouch,False,12,11,27.961564661735597
BothReleased,FirstDigitTouch,False,7,1,26.61039982922806
BothReleased,FirstDigitTouch,False,7,2,24.2309580605462
BothReleased,FirstDigitTouch,False,7,3,26.962521888555745
BothReleased,FirstDigitTouch,False,7,4,22.940840682804158
BothReleased,FirstDigitTouch,False,7,5,34.79823735699758
BothReleased,FirstDigitTouch,False,7,6,28.146756281739442
BothReleased,FirstDigitTouch,False,7,8,29.59637724852899
BothReleased,FirstDigitTouch,False,7,9,22.940771094363335
BothReleased,FirstDigitTouch,False,7,10,29.054955856471864
BothReleased,FirstDigitTouch,False,7,11,26.00848195977029
BothReleased,FirstDigitTouch,False,7,12,27.616881096429974
BothReleased,FirstDigitTouch,False,6,1,27.59868271434578
BothReleased,FirstDigitTouch,False,6,2,27.733849061542777
BothReleased,FirstDigitTouch,False,6,3,34.10296035147929
BothReleased,FirstDigitTouch,False,6,4,28.526455220997605
BothReleased,FirstDigitTouch,False,6,5,41.10107817470981
BothReleased,FirstDigitTouch,False,6,7,30.33088034823636
BothReleased,FirstDigitTouch,False,6,8,28.50892281279543
BothReleased,FirstDigitTouch,False,6,9,22.08702398853866
BothReleased,FirstDigitTouch,False,6,10,30.3883357016139
BothReleased,FirstDigitTouch,False,6,11,32.07156225725525
BothReleased,FirstDigitTouch,False,6,12,35.70168960036389
BothReleased,HandStart,False,2,1,31.70983299995494
BothReleased,HandStart,False,2,3,32.59265694533939
BothReleased,HandStart,False,2,4,33.739637394486785
BothReleased,HandStart,False,2,5,38.187418150502765
BothReleased,HandStart,False,2,6,29.318124292730555
BothReleased,HandStart,False,2,7,31.28385346716501
BothReleased,HandStart,False,2,8,47.56189019020101
BothReleased,HandStart,False,2,9,49.17591996327941
BothReleased,HandStart,False,2,10,30.386104702062138
BothReleased,HandStart,False,2,11,28.074228048002848
BothReleased,HandStart,False,2,12,34.84386835972016
BothReleased,HandStart,False,3,1,31.089557116654717
BothReleased,HandStart,False,3,2,26.201306727120045
BothReleased,HandStart,False,3,4,27.237920032328507
BothReleased,HandStart,False,3,5,32.0131591326206
BothReleased,HandStart,False,3,6,36.99711662938746
BothReleased,HandStart,False,3,7,33.09435085320752
BothReleased,HandStart,False,3,8,44.4616331870757
BothReleased,HandStart,False,3,9,43.892668545937184
BothReleased,HandStart,False,3,10,31.40915403532473
BothReleased,HandStart,False,3,11,28.0052296800851
BothReleased,HandStart,False,3,12,26.30332831497588
BothReleased,HandStart,False,1,2,26.212840077047844
BothReleased,HandStart,False,1,3,24.489514323138653
BothReleased,HandStart,False,1,4,31.660148710102238
